#filename  				 | Amplitude_1 (S0) | Freq Scale_1 (w0) | Amplitude_1 (S0) | Freq Scale_1 (w0)

kplr003744043_d21_v1.dat	    194.59              28.45             173.68			 97.81
kplr006117517_d21_v1.dat	    221.66              29.27             205.40			 102.61
kplr006144777_d21_v1.dat	    197.86              32.88             179.43			 116.04
kplr007060732_d21_v1.dat	    186.61              32.76             172.96			 115.97
kplr007619745_d21_v1.dat	    152.30              42.75             138.51			 163.48
kplr008366239_d21_v1.dat	    141.32              46.79             130.43			 182.11
kplr008475025_d21_v1.dat	    210.88              28.57             182.51			 103.50
kplr008718745_d21_v1.dat	    108.05              31.70             179.29			 114.30
kplr009145955_d21_v1.dat	    169.47              34.73             147.72			 115.63
kplr009267654_d21_v1.dat	    169.16              29.69             160.61			 103.15
kplr009475697_d21_v1.dat	    220.74              28.88             191.50			 99.58
kplr009882316_d21_v1.dat	    131.26              46.32             128.26			 212.52
kplr010123207_d21_v1.dat	    184.06              38.50             169.99			 151.14
kplr010200377_d21_v1.dat	    175.97              38.30             156.51			 122.34
kplr010257278_d21_v1.dat	    186.11              36.20             172.51			 132.72
kplr011353313_d21_v1.dat	    174.74              32.16             158.82			 112.76
kplr011913545_d21_v1.dat	    221.88              28.92             210.35			 103.91
kplr011968334_d21_v1.dat	    187.52              35.63             174.42			 131.70
kplr012008916_d21_v1.dat	    171.94              40.86             159.13			 156.39
