#BJD - 2454833   Corrected Flux
2749.610574447   0.999274082  
2749.631006433   0.999503496  
2749.651438318   0.999571309  
2749.671870403   0.999264720  
2749.692302387   0.999389935  
2749.712734271   0.999350665  
2749.733166355   0.999209252  
2749.753598338   0.999662440  
2749.774030221   0.999137531  
2749.794462303   0.999486957  
2749.814894286   0.999194186  
2749.835326167   0.999423509  
2749.855758249   0.999406923  
2749.876190230   0.999380775  
2749.917054192   0.999040630  
2749.937486172   0.999634378  
2749.957918052   0.999518482  
2749.978350131   0.999608097  
2749.998782110   0.999394272  
2750.019213989   0.999343264  
2750.039646068   0.999294165  
2750.060078046   0.999542375  
2750.080510023   0.999666564  
2750.100942001   0.999396768  
2750.121373978   0.999740266  
2750.141805955   0.999616066  
2750.162237931   0.999677112  
2750.182669907   0.999464912  
2750.203101983   0.999405350  
2750.223533858   0.999421775  
2750.243965833   0.999476920  
2750.264397908   0.999919162  
2750.284829782   0.999360869  
2750.305261756   0.999441909  
2750.325693830   0.999059962  
2750.346125703   0.999382366  
2750.366557676   0.999464959  
2750.386989749   0.999217895  
2750.407421621   0.999167133  
2750.427853593   0.999335472  
2750.448285664   0.999115804  
2750.468717636   0.999014146  
2750.489149507   0.998900335  
2750.509581577   0.998853595  
2750.530013548   0.999115655  
2750.550445518   0.998976708  
2750.570877487   0.999399090  
2750.591309456   0.999282663  
2750.611741425   0.999412420  
2750.652605362   1.000042790  
2750.673037329   0.999753227  
2750.693469297   0.999705763  
2750.713901264   1.000138946  
2750.734333231   0.999546207  
2750.754765198   0.999447017  
2750.775197064   0.999511454  
2750.795629130   0.999218193  
2750.816061095   0.999410252  
2750.836492960   0.999087441  
2750.856925025   0.999243297  
2750.877356990   0.999240126  
2750.897788954   0.999348631  
2750.918220917   0.999129081  
2750.938652881   0.998859558  
2750.959084844   0.999415386  
2750.979516807   0.999253646  
2750.999948769   0.999590648  
2751.020380831   0.999556021  
2751.040812793   0.999634192  
2751.061244655   0.999816813  
2751.081676716   0.999424674  
2751.102108676   0.999753033  
2751.142972597   0.999857531  
2751.163404557   0.999503135  
2751.183836416   0.999548090  
2751.204268475   0.999437981  
2751.224700434   0.999463695  
2751.245132293   0.999654142  
2751.265564351   0.999608070  
2751.285996309   0.999474284  
2751.306428266   0.999281778  
2751.326860223   0.999538232  
2751.347292180   0.999261027  
2751.367724136   0.999099367  
2751.388156092   0.999242496  
2751.408588048   0.999456997  
2751.429020003   0.999682942  
2751.449451958   0.999603380  
2751.469883913   0.999877434  
2751.490315768   0.999729137  
2751.510747822   0.999836674  
2751.531179776   0.999942209  
2751.551611829   0.999354937  
2751.572043682   0.999761704  
2751.592475635   0.999305430  
2751.612907687   0.999640259  
2751.633339539   0.999673562  
2751.653771491   0.999818388  
2751.674203543   1.000136363  
2751.694635394   0.999684204  
2751.715067345   0.999884754  
2751.735499395   0.999627869  
2751.755931245   0.999923507  
2751.776363195   0.999580030  
2751.796795245   0.999441723  
2751.817227094   0.999339117  
2751.837659043   0.999371434  
2751.858091091   0.999412033  
2751.878523039   0.999494029  
2751.898954887   0.999862445  
2751.919386935   0.999830717  
2751.939818882   0.999988352  
2751.960250729   1.000026476  
2751.980682775   1.000010001  
2752.001114721   0.999982330  
2752.021546767   1.000055320  
2752.041978613   0.999927854  
2752.062410558   1.000106315  
2752.082842603   0.999963626  
2752.123706392   0.999847260  
2752.144138436   0.999725612  
2752.164570279   0.999913133  
2752.185002222   0.999671591  
2752.205434265   0.999511114  
2752.225866108   0.999616323  
2752.246298050   0.999410968  
2752.266729992   0.999856017  
2752.287161934   0.999829908  
2752.307593875   1.000269118  
2752.328025816   0.999570018  
2752.348457757   0.999823478  
2752.368889697   1.000217134  
2752.389321737   0.999829654  
2752.409753577   0.999876396  
2752.430185516   1.000074920  
2752.450617555   1.000327576  
2752.471049394   0.999572910  
2752.491481432   1.000045176  
2752.511913370   0.999929517  
2752.532345208   0.999799629  
2752.552777246   0.999946036  
2752.573209183   1.000073034  
2752.614073056   1.000170057  
2752.634504992   1.000014867  
2752.654936828   1.000068855  
2752.675368863   0.999847614  
2752.695800799   1.000099985  
2752.716232733   0.999738264  
2752.736664668   0.999751318  
2752.757096602   0.999580018  
2752.777528536   0.999963179  
2752.797960470   1.000064769  
2752.818392403   0.999701894  
2752.838824336   0.999901059  
2752.859256369   0.999526842  
2752.879688201   1.000166739  
2752.900120133   0.999915191  
2752.920552164   1.000018622  
2752.940983996   1.000116358  
2752.961416027   0.999794991  
2752.981847858   0.999970195  
2753.002279788   0.999647403  
2753.022711818   1.000047485  
2753.043143648   0.999981538  
2753.063575577   0.999739355  
2753.124871363   1.000046426  
2753.145303392   0.999839097  
2753.165735220   0.999648887  
2753.186167147   0.999586157  
2753.206599174   0.999497021  
2753.227031101   0.999706871  
2753.247462928   0.999818257  
2753.267894954   1.000059967  
2753.288326880   1.000020757  
2753.308758706   0.999719410  
2753.329190731   0.999984444  
2753.349622656   1.000229821  
2753.370054681   1.000048390  
2753.390486505   0.999627938  
2753.410918429   0.999519755  
2753.431350453   0.999542355  
2753.451782276   0.999641776  
2753.472214199   0.999713001  
2753.492646222   1.000123904  
2753.513078045   1.000332924  
2753.533509967   1.000416946  
2753.553941989   1.000501420  
2753.594805731   0.999677082  
2753.676533513   1.000046850  
2753.696965333   1.000199598  
2753.717397252   1.000132236  
2753.737829271   0.999915022  
2753.758261090   1.000256578  
2753.778693009   1.000047408  
2753.799125027   1.000085118  
2753.819556844   1.000284527  
2753.839988862   1.000531590  
2753.860420779   0.999993464  
2753.880852596   1.000303020  
2753.901284613   1.000207994  
2753.921716529   1.000134283  
2753.942148345   1.000365534  
2753.962580360   1.000487401  
2753.983012276   1.000184077  
2754.003444091   1.000199320  
2754.023876105   1.000131375  
2754.044308020   1.000210205  
2754.085171848   1.000360361  
2754.105603761   1.000041182  
2754.126035674   1.000191887  
2754.146467587   1.000072764  
2754.166899500   0.999969095  
2754.187331412   1.000000000  
2754.207763424   1.000183379  
2754.228195235   1.000174206  
2754.248627147   1.000337734  
2754.269059158   1.000250762  
2754.289490969   1.000271036  
2754.309922979   0.999858371  
2754.330354889   1.000212438  
2754.350786699   1.000185426  
2754.371218708   1.000046663  
2754.391650618   0.999961979  
2754.412082426   0.999924720  
2754.432514435   1.000314990  
2754.452946343   1.000273581  
2754.473378151   1.000523009  
2754.493810159   1.000059652  
2754.514241966   1.000075655  
2754.534673873   1.000362278  
2754.575537786   1.000167712  
2754.595969592   1.000115131  
2754.616401598   1.000427114  
2754.636833504   0.999970868  
2754.657265309   1.000072387  
2754.677697314   1.000195541  
2754.698129218   1.000033438  
2754.718561123   1.000205964  
2754.738993027   0.999978838  
2754.759424930   1.000186855  
2754.779856934   1.000200405  
2754.800288737   1.000161928  
2754.820720640   1.000078359  
2754.841152642   1.000037085  
2754.861584444   1.000233787  
2754.882016346   0.999999764  
2754.902448348   1.000077027  
2754.922880149   0.999876760  
2754.943312050   1.000262249  
2754.963744051   1.000379111  
2754.984175851   1.000273202  
2755.004607751   1.000171266  
2755.025039751   1.000088697  
2755.065903450   1.000414809  
2755.086335449   1.000497891  
2755.106767347   1.000378784  
2755.127199146   1.000285408  
2755.147631144   1.000216049  
2755.168063041   1.000197800  
2755.188494939   1.000499584  
2755.208926836   1.000331179  
2755.229358633   1.000403921  
2755.249790629   1.000153389  
2755.270222525   1.000370566  
2755.290654321   1.000224084  
2755.311086317   1.000362685  
2755.331518212   1.000540427  
2755.351950007   1.000341639  
2755.372382002   1.000573172  
2755.392813896   1.000164183  
2755.413245790   1.000439665  
2755.433677684   1.000503532  
2755.454109578   1.000455873  
2755.474541471   1.000166998  
2755.494973364   1.000339200  
2755.515405257   1.000319932  
