#Filename             Amp_1      Tscale_1     Amp_2      Tscale_2    Amp_osc      nu_max     osc_bump 
KIC003744043.dat       88.5956     26.6730     57.3362     76.5214     93.8007      4.8261     115.3674 
KIC006117517.dat       98.6407     29.6860     62.6435     77.0989     192.3873     5.2621     118.6731 
KIC006144777.dat       94.7022     34.5548     53.1817     91.4546     159.9199     6.0075     127.5449 
KIC007060732.dat       80.4945     32.6604     51.4522     89.5676     63.9029      3.9904     132.9762 
KIC007619745.dat       54.5147     28.0743     60.9900     99.9323     49.9028      7.5882     172.4149 
KIC008366239.dat       53.1311     41.2677     49.2880     90.9803     22.0895      4.4914     186.2246 
KIC008475025.dat       81.3234     29.4667     68.3730     89.8544     127.7016     7.8961     112.8070 
KIC008718745.dat       84.6361     29.5225     73.3743     81.4327     122.6162     6.4717     129.5812 
KIC009145955.dat       78.1586     40.3702     49.8712     91.6508     87.2408      6.8512     130.8917 
KIC009267654.dat       77.4314     36.7021     54.6181     104.8853    65.7677      7.0533     119.2238 
KIC009475697.dat       91.8975     27.9447     64.5094     74.7633     174.9182     5.3770     114.1858 
KIC009882316.dat       57.4336     36.2802     44.5194     108.1257    21.1743      4.8964     181.1836 
KIC010123207.dat       64.0975     31.0536     61.3518     97.4304     53.1340      5.9312     160.7056 
KIC010200377.dat       79.9941     32.0332     63.7437     105.3840    45.9904      4.4724     146.8140 
KIC010257278.dat       79.1891     42.0271     48.0656     120.9688    74.9789      5.7561     151.0330 
KIC011353313.dat       78.6244     31.3646     47.6079     87.0170     97.3688      5.7738     126.4544 
KIC011913545.dat       79.1792     31.1610     74.4368     77.4739     119.7800     4.5299     113.5805 
KIC011968334.dat       68.1096     29.2894     75.9481     102.6568    65.3239      5.5246     145.0425 
KIC012008916.dat       63.2973     42.3755     62.3243     87.8003     68.3325      6.6477     167.0017 
