#   Time (s)     Flux (ppm)    Error (ppm)
      0.0000     -185.31084      51.00873
   1765.4569      -85.05583      51.00819
   3530.8966      -93.93692      51.04219
   5296.3536     -132.38191      51.04909
   7061.8020     -176.90659      51.02384
   8827.2418       55.07469      51.05437
  10592.6988      570.29724      51.05860
  12358.1472      273.58533      51.03722
  14123.5871      -17.58337      51.03993
  15889.0442      389.57596      51.06656
  17654.4927      665.54547      51.06459
  19419.9326       40.53116      51.05437
  21185.3898      -68.60495      51.07600
  22950.8384      -29.44469      51.06538
  24716.2956     -101.08948      51.07070
  26481.7356      -93.46008      51.06125
  28247.1842     -212.07333      51.05899
  30012.6329     -251.65082      51.04818
  31778.0816     -185.19164      51.06717
  33543.5303     -265.24066      51.07000
  35308.9790     -327.22949      51.06215
  37074.4278     -204.20551      51.08930
  38839.8852     -211.06004      51.08086
  40605.3340     -321.14984      51.06473
  42370.7742     -357.09143      51.08270
  44136.2317     -200.98686      51.07286
  45901.6806     -260.71072      51.04790
  47667.1208     -156.87943      51.09723
  49432.5783      -14.60314      51.07533
  51198.0273      146.62743      51.09808
  52963.4676       60.67753      51.09282
  54728.9252       -7.98702      51.08807
  56494.3742      -99.42055      51.09692
  58259.8319     -191.68854      51.08268
  60025.2723      -27.53735      51.09762
  61790.7214      -31.29244      51.08703
  63556.1791      109.31492      51.10369
  65321.6196       96.55952      51.10508
  67087.0687     -332.29590      51.09237
  68852.5265     -403.10620      51.10265
  70617.9671     -274.24097      51.08802
  72383.4163      204.44394      51.09710
  74148.8742      -37.96816      51.08486
  75914.3148     -406.44406      51.08935
  77679.7727     -251.77002      51.09002
  79445.2220     -269.59180      51.10916
  81210.6713     -392.67542      51.10353
  82976.1207      -56.50520      51.10265
  84741.5700     -258.50534      51.08834
  86507.0194     -559.09155      51.07138
  88272.4688     -188.46988      51.08940
  90037.9183      100.13580      51.09547
  91803.3677     -347.31625      51.10381
  93568.8172     -449.65744      51.08992
  97099.7162     -173.86674      51.10803
  98865.1658     -511.28864      51.08218
 100630.6153     -334.62048      51.08852
 102396.0736     -132.73955      51.08397
 104161.5145     -294.26813      51.08295
 105926.9642     -316.26224      51.08594
 107692.4225     -404.65594      51.08759
 109457.8635     -538.46838      51.08609
 111223.3219     -290.15540      51.09357
 112988.7716     -105.97706      51.09278
 114754.2127      299.81137      51.10092
 116519.6711      333.30917      51.09865
 118285.1209      505.32819      51.10575
 120050.5621      278.23450      51.09983
 121816.0206      124.45450      51.08640
 123581.4704      260.94913      51.11528
 125346.9290      216.12643      51.09597
 127112.3702      137.44830      51.10028
 128877.8202       20.14637      51.09830
 130643.2788      221.84848      51.11462
 132408.7201      396.37088      51.09402
 134174.1701      246.40561      51.10287
 135939.6288     -241.27960      51.10033
 137705.0788     -215.82841      51.09727
 139470.5202      240.56435      51.10111
 141235.9703       21.57688      51.09396
 143001.4291     -364.84003      51.09213
 144766.8792      -17.28535      51.09698
 146532.3294     -209.27191      51.09413
 148297.7709     -502.76517      51.08589
 150063.2298     -512.06348      51.09441
 151828.6800     -354.64764      51.08780
 153594.1216       66.75720      51.10852
 155359.5805      -57.93571      51.09176
 157125.0308     -390.05280      51.08730
