#   Time (s)     Flux (ppm)    Error (ppm)
      0.0000     -130.83220      53.64783
   1765.4507      -87.73804      53.65013
   3530.8841     -264.52542      53.64938
   5296.3261     -350.17728      53.65335
   7061.7769      186.92017      53.66578
   8827.2190      -93.34087      53.65211
  10592.6611     -258.38614      53.64555
  12358.1032     -175.35687      53.64980
  14123.5454       40.17353      53.64586
  15888.9876      110.98385      53.65128
  17654.4298     -207.06653      53.64803
  19419.8720     -153.42236      53.64737
  21185.3229     -106.15587      53.63695
  22950.7565     -255.22708      53.63305
  24716.2074     -102.46039      53.64604
  26481.6497       85.47306      53.65338
  28247.0834      -39.69669      53.64987
  30012.5344     -331.46143      53.63368
  31777.9681     -339.21002      53.64079
  33543.4105     -244.02142      53.64592
  35308.8615     -238.23976      53.63792
  37074.3040       66.51878      53.64863
  38839.7378     -105.50022      53.64438
  40605.1889      148.89240      53.64856
  42370.6227       57.93571      53.64609
  44136.0738     -143.34917      53.64611
  45901.5164      -33.31900      53.64725
  47666.9503      329.01764      53.65199
  49432.4015        0.59605      53.64656
  51197.8440       67.94930      53.65003
  52963.2866      359.53522      53.65350
  54728.7292      631.80920      53.65414
  56494.1719       63.18092      53.64982
  58259.6232       25.63000      53.65058
  60025.0572      238.89542      53.65856
  61790.4999       -6.91414      53.64996
  63555.9513     -202.00014      53.65045
  65321.3940       29.44469      53.65611
  67086.8281       99.06292      53.65800
  68852.2795     -343.50156      53.64223
  70617.7223       35.52437      53.65293
  72383.1565      230.43155      53.65823
  74148.6080      258.68414      53.64603
  75914.0508       47.32609      53.65427
  77679.5023       67.35325      53.64780
  79444.9366      -84.87701      53.64388
  81210.3795       59.36623      53.65679
  82975.8311      373.60193      53.66028
  84741.2654      -53.94220      53.64642
  86506.7084     -467.36002      53.63617
  88272.1513     -260.82993      53.64173
  90037.5944     -199.19873      53.64687
  91803.0460     -240.62395      53.64806
  93568.4804     -110.32820      53.64843
  95333.9235      495.55301      53.65656
  97099.3752      270.24747      53.65608
  98864.8097        2.26498      53.64544
 100630.2528      245.69034      53.66095
 102395.7046      217.43774      53.65424
 104161.1392      244.14062      53.65311
 105926.5824      628.59058      53.66667
 107692.0342      458.35971      53.66185
 109457.4774       73.19450      53.65142
 111222.9207      745.77332      53.67210
 112988.3639      180.48286      53.65630
 114753.8072     -157.41586      53.65074
 116519.2505      118.61324      53.65076
 118284.6939      -57.28006      53.63797
 120050.1372     -161.34978      53.65550
 121815.5892     -169.21759      53.65210
 123581.0240     -470.28064      53.64048
 125346.4760     -258.08810      53.64745
 127111.9194     -235.79597      53.64370
 128877.3542     -396.37088      53.65136
 130642.8064     -173.27071      53.65033
 132408.2498     -315.54700      53.64061
 134173.6847     -192.16537      53.64712
 135939.1369      120.28217      53.66669
 137704.5804      159.62125      53.65428
 139470.0153      211.83490      53.65937
 141235.4676      498.89087      53.67192
 143000.9112      438.33255      53.67200
 144766.3548      541.32941      53.67931
 146531.7984      262.97571      53.66854
 148297.2421      233.88863      53.66855
 150062.6858       89.88380      53.65796
 151828.1295      168.20432      53.66497
 153593.5732      -65.92274      53.65663
 155359.0170     -358.52194      53.65453
 157124.4607     -122.18952      53.66268
 158889.9131       63.18092      53.67128
 160655.3483      105.85785      53.66362
 162420.7921      261.54517      53.65273
 164186.2446      -53.82299      53.66670
 165951.6798      -45.18032      53.66407
 167717.1237     -158.90598      53.66326
 171248.0202     -114.08329      53.66391
 173013.4555       73.90976      53.66495
 174778.9081     -117.89799      53.66218
 176544.3521     -124.93134      53.66526
 178309.7961        7.51019      53.67475
 180075.2401      272.03558      53.66976
 181840.6841      157.83310      53.67008
 183606.1368      283.71811      53.66931
 185371.5723      372.76746      53.67448
 187137.0164      271.43954      53.67272
 188902.4691      191.33090      53.67056
 190667.9046      183.58231      53.67337
 192433.3574     -235.79597      53.65452
 194198.8016       23.36502      53.66881
 195964.2372       61.27357      53.66776
 197729.6900       73.67134      53.67207
 199495.1256      -89.40697      53.66275
 201260.5699      149.25003      53.66855
 203026.0228     -199.97359      53.66656
 204791.4585     -183.46310      53.66621
 206556.9028      -97.27478      53.66163
 208322.3558     -260.47229      53.65952
 210087.7915     -108.89769      53.65898
 211853.2445      268.93616      53.66344
 213618.6889       93.46008      53.65954
 215384.1334     -397.14575      53.66687
 217149.5778     -402.98700      53.66609
 218915.0222     -448.94220      53.65310
 220680.4667     -423.66980      53.65559
 222445.9112     -295.93707      53.66054
 224211.3557      -18.00060      53.66669
 225976.8089       97.27478      53.67209
 227742.2535      121.35506      53.66573
 229507.6894      678.77771      53.68197
 231273.1427      156.99863      53.67088
 233038.5873     -265.41949      53.65882
 234804.0231      -85.65187      53.65277
 236569.4764     -144.66048      53.65697
 238334.9211     -440.12070      53.64547
 240100.3572     -266.85001      53.65172
 241865.8105       47.56451      53.65955
 243631.2553      157.11784      53.66480
 245396.7087       18.23902      53.66489
 247162.1448      -53.16734      53.65405
 248927.5896      366.80698      53.67173
 250693.0431      -18.77546      53.65593
 252458.4793     -204.44394      53.65954
 254223.9241       -9.65595      53.66377
 255989.3690       10.37121      53.66829
 257754.8139      129.10367      53.66941
 259520.2674      179.05235      53.66518
 261285.7037       94.77139      53.66672
 263051.1487      104.06971      53.67067
 264816.6023      -23.12660      53.67640
 266582.0387      133.75282      53.66658
 268347.4837      -48.04134      53.66769
 270112.9374      -78.61853      53.66830
 271878.3824     -195.20522      53.65997
 273643.8275     -297.00995      53.65952
 275409.2726     -150.38252      53.66397
 277174.7177      219.94113      53.67032
 278940.1629      -57.16085      53.66167
 280705.6080     -297.12915      53.66734
 282471.0532       12.51698      53.65989
 284236.5070      254.03500      53.67455
 286001.9436      207.90100      53.67978
 287767.3888       15.85484      53.66425
 289532.8428     -245.69034      53.65958
 291298.2794     -440.89557      53.66196
 293063.7333     -270.36667      53.66250
 294829.1786     -132.38191      53.66278
 296594.6153      171.30374      53.67141
 298360.0693       23.36502      53.66079
 300125.5147      -86.66515      53.66240
 301890.9515     -310.30179      53.65939
 303656.4055      -89.40697      53.66489
 305421.8510      -46.37241      53.66496
 307187.3051      -39.45827      53.66089
 308952.7419      -56.92244      53.66346
 310718.1874     -209.51033      53.65895
 312483.6329     -173.74754      53.66092
 314249.0785     -284.37375      53.66016
 316014.5240        7.03335      53.65990
 317779.9696       21.69609      53.66879
 319545.4152      221.84848      53.66322
 321310.8608       84.28097      53.67094
 323076.3064      114.44092      53.67570
 324841.7521      302.79160      53.67710
 326607.2064       43.03455      53.66936
 328372.6521     -162.66107      53.66264
 330138.0892     -186.92017      53.65608
 331903.5436     -135.66017      53.66557
 333668.9893       72.83688      53.67204
 335434.4265      134.94492      53.67245
 337199.8809      293.49329      53.67547
 338965.3267      168.91956      53.67430
 340730.7726      230.90839      53.66545
 342496.2184      232.21970      53.67389
 344261.6643     -108.00362      53.66681
 346027.1189      141.02460      53.66917
 347792.5561      140.78616      53.67136
 349558.0021     -195.98007      53.67046
 351323.4567       56.62441      53.66828
 353088.8940        3.33786      53.67120
 354854.3400      145.91217      53.67335
 356619.7947      109.79176      53.67272
 358385.2321     -377.29739      53.66291
 360150.6868     -398.45706      53.66124
 361916.1329     -254.33302      53.66497
 363681.5703     -210.70242      53.66708
 365447.0251     -348.44876      53.66594
 372508.8011       93.69850      53.67414
 374274.2560      255.46552      53.67717
 376039.7022      198.96030      53.67773
 377805.1485     -173.74754      53.66684
 379570.5948     -112.53357      53.66853
 381336.0410      119.44771      53.67410
 383101.4874      -21.69609      53.67537
 384866.9424      117.77878      53.67181
 386632.3801      450.84955      53.68109
 388397.8351      180.24445      53.67941
 390163.2815       74.38660      53.67959
 393694.1744      378.72791      53.67699
 395459.6208      164.15118      53.66837
 397225.0587        6.19888      53.67096
 398990.5138      -23.12660      53.67447
 400755.9603      -34.63030      53.67177
 402521.3982     -348.68716      53.65989
 404286.8534     -117.89799      53.67120
 406052.3000      415.44437      53.68050
 407817.7553      247.12085      53.67929
 409583.1932      123.97766      53.67397
 411348.6399      -68.30692      53.67361
 413114.0952       59.12781      53.67467
 414879.5332     -270.60510      53.66475
 423706.7669       30.87521      53.67424
 427237.6692     -186.14531      53.66684
 429003.1074      -84.22136      53.67006
 430768.5543      273.10849      53.68242
 432534.0098       78.91655      53.67891
 434299.4567     -324.54730      53.67009
 436064.8950     -106.81152      53.67502
 439595.7975     -270.36667      53.67334
 441361.2445     -261.78360      53.67410
 443126.6915      377.17819      53.69233
 444892.1386      345.94537      53.69200
 448423.0327      -55.25351      53.68280
 450188.4798       79.63181      53.68612
 451953.9355      -33.67662      53.68702
 453719.3740      -41.24641      53.68398
 455484.8298      241.51802      53.68913
 457250.2769      229.00104      53.69196
 459015.7155      -65.50551      53.68433
 460781.1713       58.88939      53.68844
 462546.6186      289.20172      53.69344
 464312.0572       75.93632      53.68988
 466077.5131      -33.02097      53.68477
 467842.9604      306.60629      53.69971
 469608.4163      185.84729      53.69477
 471373.8550      -12.63618      53.68937
 473139.3024      -13.94749      53.68956
 474904.7584      136.49463      53.69218
 476670.1971      224.47110      53.69865
 478435.6445      409.12628      53.70223
 480201.0920      245.92877      53.69540
 481966.5394      203.01343      53.69374
 483731.9869       67.23404      53.69198
 485497.4344      -19.96756      53.69243
 487262.8819       25.27237      53.69003
 489028.3380     -141.38222      53.67918
 490793.7856     -116.16945      53.68123
 492559.2245       67.94930      53.68339
 494324.6808      125.88501      53.68479
 496090.1284       -8.64267      53.68287
 497855.5674      -39.45827      53.68688
 499621.0236      294.44696      53.68834
 501386.4713      104.66576      53.68985
 503151.9276      -27.29893      53.68740
 504917.3667       42.67693      53.68506
 506682.8145       45.65716      53.68143
 508448.2709       33.73623      53.68850
 510213.7100      138.28278      53.68828
 511979.1578      169.15799      53.68498
 513744.6142       67.35325      53.68961
 515510.0534      231.86206      53.68615
 517275.5013      161.05176      53.68945
 519040.9578      -44.40546      53.68530
 520806.3970      459.79022      53.69771
 522571.8536      581.74133      53.69566
 524337.3015     -204.08630      53.68153
 526102.7409     -616.37164      53.67235
 527868.1975       56.86283      53.69022
 529633.6455      150.68054      53.68621
 531399.0935     -127.01750      53.68555
 533164.5415     -197.11256      53.67994
 534929.9896      -27.12011      53.68746
 536695.4376     -520.76581      53.67267
 538460.8857     -457.46564      53.67457
 540226.3339     -294.62576      53.68195
 541991.7820     -389.69516      53.67686
 543757.2302     -540.25647      53.67374
 545522.6783     -376.64175      53.67580
 547288.1352     -299.51334      53.67608
 549053.5748     -187.21819      53.68187
 550819.0230     -319.36169      53.67867
 552584.4799      126.95789      53.68910
 554349.9195     -415.32516      53.67500
 556115.3765     -537.21667      53.67506
 557880.8248        0.00000      53.68460
 559646.2645      -65.14787      53.68429
 561411.7215      -73.73094      53.68826
 563177.1699      167.60826      53.68769
 564942.6096      570.77405      53.69295
 566708.0667      438.57098      53.69504
 568473.5151      269.88983      53.69370
 570238.9722      367.16461      53.69230
 572004.4121      337.60071      53.68900
 573769.8606      -77.12841      53.68896
 575535.3177       30.04074      53.69043
 577300.7576      325.79898      53.68934
 579066.2062       95.36743      53.68896
 580831.6634      -40.05432      53.68591
 582597.1034      180.00603      53.69041
 584362.5520      449.18060      53.69966
 586128.0093      446.79642      53.69431
 587893.4580      213.26541      53.68750
 589658.9067      342.84592      53.69403
 591424.3554      277.75763      53.69085
 593189.7954       19.90795      53.68099
 594955.2528      312.44754      53.69561
 596720.7016      551.34296      53.70037
 598486.1417       15.73563      53.67985
 600251.5992     -102.34117      53.68098
 602017.0480       43.15376      53.68574
 603782.4969      115.87143      53.68539
 605547.9457      -54.41904      53.67632
 607313.3946       77.72446      53.68508
 609078.8522       83.32729      53.68160
 610844.2925      204.32472      53.68824
 612609.7414      283.00287      53.69525
 614375.1990      545.85931      53.69658
 616140.6394      379.68158      53.69372
 617906.0884      407.69577      53.69830
 619671.5461      246.04797      53.68310
 621436.9865      411.86810      53.69421
 623202.4442     -120.75901      53.67841
 624967.8933     -270.12823      53.67209
 626733.3337      110.62622      53.68645
 628498.7915      -69.61823      53.67862
 630264.2407     -133.15677      53.68076
 632029.6898       13.70907      53.68115
 633795.1390      150.20370      53.68324
 635560.5882      117.89799      53.68509
 637326.0461      275.01584      53.68870
 639091.4867      160.69412      53.68016
 640856.9360       -9.65595      53.68217
 642622.3939      -42.14048      53.68028
 644387.8346      356.55499      53.69285
 646153.2840      115.51380      53.68225
 647918.7333      241.16040      53.68741
 649684.1827      408.64944      53.68811
 651449.6321      528.69318      53.69324
