#   Time (s)     Flux (ppm)    Error (ppm)
      0.0000      -24.61672      50.50990
   1765.4414     -214.45752      50.54417
   3530.8656     -589.43036      50.55706
   5296.3070     -636.99481      50.55370
   7061.7399     -282.28760      50.57659
   8827.1641     -150.26331      50.57542
  10592.6056       41.48483      50.58639
  12358.0385     -231.50444      50.59558
  14123.4627     -255.28670      50.58005
  15888.9043     -321.56705      50.58400
  17654.3372     -337.71991      50.58740
  19419.7616      -32.78255      50.60078
  21185.2032     -133.57401      50.60761
  22950.6362     -236.45163      50.59209
  24716.0779      -44.58427      50.61205
  26481.5023      343.44196      50.61855
  28246.9353      138.75961      50.63031
  30012.3684      -87.08238      50.60343
  31777.8015     -270.48587      50.60959
  33543.2346     -124.93134      50.61331
  35308.6677      143.28957      50.61291
  37074.1009       93.34087      50.62260
  38839.5427       56.98204      50.62476
  40604.9759       58.05492      50.63678
  42370.4005      455.02185      50.63330
  44135.8424      743.98517      50.65189
  45901.2756      433.92181      50.64731
  47666.7002     -419.49750      50.61104
  49432.1422     -763.17786      50.62746
  51197.5755     -364.78043      50.62376
  52963.0002      236.74965      50.63379
  54728.4421      239.37225      50.64751
  56493.8755       59.60464      50.64313
  58259.3175      -55.73034      50.64054
  60024.7423     -459.90942      50.63867
  61790.1757     -388.32425      50.63570
  63555.6178     -221.07362      50.64888
  65321.0426      -20.68281      50.65119
  67086.4761      103.35445      50.66047
  68851.9182      164.03198      50.65879
  70617.3431      329.25604      50.65158
  72382.7767      299.45374      50.65788
  74148.2189      619.88831      50.65706
  75913.6438      638.48499      50.67001
  77679.0860      331.99786      50.65863
  79444.5196      281.92996      50.66573
  81209.9533      325.56058      50.66221
  82975.3869      277.40002      50.65614
  84740.8206      337.95834      50.65213
  86506.2543      414.13306      50.66174
  88271.6880      585.43683      50.65394
  90037.1217      534.29602      50.65146
  91802.5555      -64.31342      50.64669
  93567.9893     -161.70740      50.64404
  97098.8568      499.48694      50.66544
  98864.2907       78.79734      50.64842
 100629.7245     -216.84171      50.63649
 102395.1670     -381.82736      50.63651
 104160.5923      -58.94899      50.64347
 105926.0262      288.72491      50.65949
 107691.4687      269.53220      50.65425
 109456.8940      334.38205      50.64785
 111222.3366      -95.54625      50.64818
 112987.7706       49.47186      50.65796
 114753.1960      235.55756      50.65396
 116518.6386      289.67859      50.66193
 118284.0727      192.88063      50.65943
 120049.4981      391.24487      50.64632
