# Index   Gal_Lon  Gal_Lat  Ec_Lon   Ec_Lat   Ra       Dec      Mass   Radius Age     Lum    Teff      Logg   FeH     Med_Obs Min_Obs uvb_u   uvb_b   uvb_v   uvb_r   uvb_i  uvb_j  uvb_h  uvb_k  Mtip   numax              dnu               
  1541647 168.9068 -57.6076 32.1847  -16.2717 35.5501  -3.0772  1.26   4.8985 9.5749  1.1186 4991.1069 3.1587 -0.404  27.4    0.0     9.7788  9.2955  8.3604  7.8447  7.3914 6.7498 6.2352 6.174  1.2761 181.05555306776537 14.149162193630762
  1560290 135.84   -66.9442 14.7227  -11.2489 17.8945  -4.5785  1.3536 6.2256 9.541   1.2743 4842.7544 2.9816 -0.2154 27.4    0.0     11.0213 10.3452 9.2992  8.731   8.2385 7.5236 6.9663 6.8936 1.367  122.28303166722559 10.237699378011406
  1561144 173.9708 -43.9276 46.0374  -12.1554 47.0633  4.9743   1.3508 5.4097 9.5433  1.1699 4892.4302 3.1027 -0.1691 27.4    0.0     11.9745 11.2835 10.1711 9.5647  9.0222 8.229  7.6546 7.5674 1.367  160.83465248221592 12.62842934194901 
  1573736 168.6478 -66.3331 24.1044  -20.4403 29.8087  -9.6826  1.287  5.3011 9.6341  1.1321 4835.5947 3.0993 -0.1447 27.4    0.0     12.1229 11.4364 10.407  9.8463  9.3689 8.6773 8.127  8.058  1.2991 160.47427912451667 12.704828286904611
  2046779 149.2988 -63.7602 21.192   -12.3916 24.2018  -3.2355  1.1136 4.8068 9.8298  1.07   4900.1313 3.1215 -0.3088 27.4    0.0     11.5524 10.9823 9.9985  9.4569  8.9852 8.3076 7.7676 7.7006 1.1235 167.80637412474297 13.68965720882638 
  2053207 184.5744 -24.0195 68.0953  -10.2146 67.9904  11.5667  1.1926 5.7689 9.7553  1.1949 4805.9014 2.9928 -0.2127 27.4    0.0     12.8885 12.061  10.796  10.1064 9.4732 8.5312 7.8945 7.7814 1.2017 125.93865133935988 10.772135160213416
  2056032 163.7462 -70.5555 19.2316  -20.9539 25.706   -11.8733 1.1513 5.1032 9.8222  1.0968 4829.4614 3.084  -0.1988 27.4    0.0     11.7164 11.0556 10.0386 9.4834  9.0088 8.3216 7.7702 7.7024 1.1606 155.01946448215833 12.723166517766447
  2065130 202.1747 -17.6293 81.7195  -22.0607 82.328   1.1583   1.117  5.6566 9.7864  1.2173 4915.8506 2.9814 -0.4381 27.4    0.0     11.8807 11.3204 10.2949 9.7293  9.2193 8.4839 7.926  7.849  1.1256 121.25530301672796 10.73377318726454 
  2073078 200.2034 -20.337  78.2242  -21.5377 79.0534  1.4553   1.157  5.1933 9.79    1.1261 4868.2935 3.0709 -0.2835 27.4    0.0     12.6153 11.9651 10.9    10.3162 9.799  9.0467 8.4788 8.3992 1.1667 149.7629195266476  12.420149333344401
  2080395 194.0717 -18.7397 77.0748  -15.6427 77.4598  7.2357   1.1577 5.3675 9.7141  1.1838 4950.624  3.0425 -0.4116 27.4    0.0     12.4516 11.914  10.8963 10.3345 9.8254 9.0943 8.5433 8.4664 1.1683 139.14195377708361 11.825858959350716
  2421257 199.8744 -16.3878 81.8772  -19.5393 82.3319  3.6841   1.0778 5.6594 9.9042  1.1793 4808.6484 2.9654 -0.2688 27.4    0.0     11.3956 10.7102 9.6356  9.0487  8.5327 7.7795 7.2017 7.1232 1.0854 118.2145932282563  10.53823917378695 
  2427405 218.1439 11.7907  117.5327 -20.2113 115.7111 0.8041   1.0235 5.1882 9.918   1.1675 4988.6196 3.0185 -0.5487 27.4    0.0     11.4219 10.9862 10.0424 9.5166  9.0391 8.3634 7.8346 7.7665 1.032  131.1811522295057  11.702129909617447
  2428250 169.8853 -48.9675 40.1347  -12.3129 41.5764  3.1443   0.9952 4.4096 9.9505  1.0363 5017.4917 3.1475 -0.6252 27.4    0.0     11.3356 10.9321 10.0179 9.5069  9.0453 8.3957 7.8796 7.8155 1.0043 176.06214999774173 14.726347903835633
  2428282 187.7136 -55.4073 38.7525  -24.8779 44.2145  -9.2118  0.9975 4.6835 9.9818  1.0683 4959.2988 3.0962 -0.481  27.4    0.0     11.7084 11.2345 10.2807 9.7509  9.2755 8.5993 8.0655 7.9989 1.0053 157.3751395910198  13.470915742199848
  2434223 102.9635 -73.1424 1.9779   -13.0513 7.0657   -11.1755 1.0868 4.6991 9.8581  1.0487 4894.9663 3.1305 -0.3386 27.4    0.0     12.0726 11.4943 10.5001 9.9532  9.4745 8.7858 8.2418 8.1735 1.0961 171.36648371901967 13.986330776804431
  2435959 180.7426 -35.317  56.3267  -12.5801 56.9546  7.08     1.0179 5.0072 9.934   1.1072 4904.6284 3.0469 -0.4295 27.4    0.0     12.0934 11.511  10.453  9.8688  9.3375 8.5685 7.9969 7.9145 1.0256 141.2468369158343  12.307666166894839
  2451114 175.7006 -43.305  47.2235  -12.9401 48.3963  4.537    1.0337 5.7653 9.8958  1.2066 4839.8096 2.9312 -0.3894 27.4    0.0     12.5321 11.8785 10.7882 10.1898 9.651  8.8655 8.2797 8.1953 1.0411 108.90449279888017 10.037763749672788
  2452144 214.9543 14.2499  117.5711 -16.2488 116.478  4.6921   0.9548 5.4918 9.9501  1.2074 4961.4502 2.9389 -0.6762 27.4    0.0     11.8039 11.3981 10.4861 9.9751  9.5145 8.8659 8.3392 8.2758 0.9621 109.52038093100907 10.378557380450943
  2460682 104.6633 -72.3521 2.5844   -12.3243 7.3171   -10.2712 1.0573 4.8764 9.8885  1.1069 4969.5215 3.0865 -0.4823 27.4    0.0     12.3462 11.8858 10.9467 10.4249 9.9585 9.2966 8.7685 8.7042 1.066  153.72748414411254 13.054874354523909
  2805753 167.9705 -52.9494 36.0141  -13.3937 38.0976  0.8594   0.8921 4.4591 10.0414 1.0738 5098.4062 3.0903 -0.9145 27.4    0.0     11.2992 11.0489 10.2157 9.7344  9.2899 8.6765 8.1815 8.1199 0.8998 153.10393229557812 13.71086756664374 
